,Facility_ID,State,Hospital_Type,Hospital_Ownership,Emergency_Services,Hospital_overall_rating,Mortality_national_comparison,Safety_of_care_national_comparison,Readmission_national_comparison,Patient_experience,Effectiveness_of_care_national_comparison,Timeliness_of_care_national_comparison,Efficient_use_of_medical_imaging_national_comparison,Rate_of_readmission_after_discharge,Denominator,Readmission_after_discharge_Score,Lower_Estimate,Higher_Estimate,Care_transition,Cleanliness,Communication_about_medicines,Discharge_information,Doctor_communication,Nurse_communication,Quietness,Staff_responsiveness
2917,290003,NV,Acute Care Hospitals,Proprietary,Yes,1,Below the national average,Below the national average,Below the national average,Below the national average,Above the national average,Below the national average,Above the national average,Worse Than the National Rate,3655,16.7,15.7,17.6,1,2,1,1,1,1,2,1
2920,290008,NV,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,509,15.1,13.8,16.5,1,3,3,2,2,2,4,3
2921,290009,NV,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Above the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,3205,15.6,14.7,16.5,2,2,2,3,1,2,1,3
2923,290019,NV,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,No Different Than the National Rate,3934,15.9,15,16.7,4,3,3,4,2,3,2,3
2924,290021,NV,Acute Care Hospitals,Proprietary,Yes,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,1873,16,15,17.1,2,1,2,2,1,2,1,3
2925,290022,NV,Acute Care Hospitals,Proprietary,Yes,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Worse Than the National Rate,2073,16.9,15.7,17.9,2,2,2,2,1,2,2,3
2926,290032,NV,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,1232,15,13.8,16.3,4,3,3,3,2,3,2,4
2927,290039,NV,Acute Care Hospitals,Proprietary,Yes,3,Above the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average,Worse Than the National Rate,5568,17.1,15.9,17.8,2,2,2,2,1,3,2,3
2928,290041,NV,Acute Care Hospitals,Proprietary,Yes,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Worse Than the National Rate,3047,16.8,15.7,17.8,2,2,2,2,1,2,3,2
2930,290045,NV,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Below the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Above the national average,No Different Than the National Rate,4655,16,15.1,16.8,2,2,3,3,2,2,3,2
2931,290046,NV,Acute Care Hospitals,Proprietary,Yes,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Worse Than the National Rate,2474,18.2,16.2,19.3,2,2,2,2,1,2,2,3
2932,290047,NV,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Above the national average,No Different Than the National Rate,2296,16.7,15.5,17.7,2,3,2,2,1,2,3,3
2933,290049,NV,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,1230,15.2,13.9,16.5,3,3,3,2,3,4,2,3
2934,290053,NV,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,1436,16.1,14.9,17.2,3,3,3,3,2,3,3,3
2935,290054,NV,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Worse Than the National Rate,2397,17.3,15.9,18.4,2,2,2,3,1,2,3,2
2937,290057,NV,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Above the national average,No Different Than the National Rate,1888,16.8,15.5,17.9,3,3,3,3,2,2,3,3
2960,300001,NH,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Above the national average,No Different Than the National Rate,4225,16.2,15.2,17.1,4,3,4,4,4,4,3,4
2961,300003,NH,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Above the national average,No Different Than the National Rate,5570,15.5,14.7,16.3,4,2,3,4,3,4,1,4
2962,300005,NH,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Below the national average,Above the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,No Different Than the National Rate,1450,14.9,13.8,16.2,2,1,3,4,3,4,3,3
2963,300011,NH,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,1694,16.1,14.9,17.2,2,3,2,4,2,4,3,3
2964,300012,NH,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,3379,16.5,15.5,17.5,3,2,3,4,4,4,1,3
2965,300014,NH,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,1010,15.3,14,16.5,4,4,4,5,4,5,4,5
2966,300017,NH,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,1471,17,15.6,18.3,4,4,4,4,2,4,1,3
2967,300018,NH,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,2168,15.5,14.5,16.6,4,4,4,5,4,4,4,4
